audio interface opened
hw_params allocated
hw_params initialized
hw_params access setted
hw_params format setted
hw_params rate setted
hw_params channels setted
change volume times :8
audio interface prepared: 16, length - 96000
freq:240,amplitude,vol,theta 
240,20341,1000,0 
240,28040,1000,0 
240,32261,1000,0 
240,32231,1000,0 
240,32230,1000,0 
240,32257,1000,0 
240,22408,2000,0 
240,12313,2000,0 
240,32272,2000,0 
240,32302,2000,0 
240,32284,2000,0 
240,32279,2000,0 
240,31033,3000,0 
240,31824,3000,0 
240,32345,3000,0 
240,32315,3000,0 
240,32311,3000,0 
240,32344,3000,0 
240,24276,4000,0 
240,29462,4000,0 
240,32354,4000,0 
240,32387,4000,0 
240,32358,4000,0 
240,32355,4000,0 
240,27759,5000,0 
240,30246,5000,0 
240,32417,5000,0 
240,32389,5000,0 
240,32389,5000,0 
240,32418,5000,0 
240,22814,6000,0 
240,13110,6000,0 
240,32413,6000,0 
240,32445,6000,0 
240,32413,6000,0 
240,32412,6000,0 
240,31845,7000,0 
240,32273,7000,0 
240,32471,7000,0 
240,32434,7000,0 
240,32438,7000,0 
240,32470,7000,0 
240,23532,8000,0 
240,12457,8000,0 
240,32458,8000,0 
240,32492,8000,0 
240,32459,8000,0 
240,32459,8000,0 
240,29080,1000,1 
240,30086,1000,1 
240,32240,1000,1 
240,32208,1000,1 
240,32213,1000,1 
240,32241,1000,1 
240,27990,2000,1 
240,15349,2000,1 
240,32260,2000,1 
240,32296,2000,1 
240,32260,2000,1 
240,32261,2000,1 
240,28258,3000,1 
240,30749,3000,1 
240,32348,3000,1 
240,32312,3000,1 
240,32315,3000,1 
240,32345,3000,1 
240,22792,4000,1 
240,13381,4000,1 
240,32359,4000,1 
240,32388,4000,1 
240,32358,4000,1 
240,32359,4000,1 
240,28795,5000,1 
240,31845,5000,1 
240,32414,5000,1 
240,32388,5000,1 
240,32386,5000,1 
240,32419,5000,1 
240,24074,6000,1 
240,24828,6000,1 
240,32419,6000,1 
240,32448,6000,1 
240,32418,6000,1 
240,32412,6000,1 
240,28223,7000,1 
240,30838,7000,1 
240,32468,7000,1 
240,32437,7000,1 
240,32434,7000,1 
240,32468,7000,1 
240,22338,8000,1 
240,15145,8000,1 
240,32458,8000,1 
240,32486,8000,1 
240,32460,8000,1 
240,32460,8000,1 
240,27823,1000,2 
240,30396,1000,2 
240,32266,1000,2 
240,32241,1000,2 
240,32236,1000,2 
240,32265,1000,2 
240,23072,2000,2 
240,18733,2000,2 
240,32273,2000,2 
240,32305,2000,2 
240,32277,2000,2 
240,32272,2000,2 
240,27992,3000,2 
240,30117,3000,2 
240,32352,3000,2 
240,32323,3000,2 
240,32336,3000,2 
240,32370,3000,2 
240,24974,4000,2 
240,21301,4000,2 
240,32353,4000,2 
240,32385,4000,2 
240,32354,4000,2 
240,32350,4000,2 
240,30081,5000,2 
240,30398,5000,2 
240,32418,5000,2 
240,32389,5000,2 
240,32386,5000,2 
240,32420,5000,2 
240,23753,6000,2 
240,14153,6000,2 
240,32414,6000,2 
240,32447,6000,2 
240,32415,6000,2 
240,32414,6000,2 
240,30168,7000,2 
240,32284,7000,2 
240,32470,7000,2 
240,32440,7000,2 
240,32436,7000,2 
240,32472,7000,2 
240,31425,8000,2 
240,29587,8000,2 
240,32458,8000,2 
240,32491,8000,2 
240,32459,8000,2 
240,32458,8000,2 
240,30372,1000,3 
240,31781,1000,3 
240,32227,1000,3 
240,32195,1000,3 
240,32198,1000,3 
240,32229,1000,3 
240,23027,2000,3 
240,12680,2000,3 
240,32258,2000,3 
240,32290,2000,3 
240,32258,2000,3 
240,32259,2000,3 
240,28280,3000,3 
240,30156,3000,3 
240,32341,3000,3 
240,32306,3000,3 
240,32309,3000,3 
240,32340,3000,3 
240,22839,4000,3 
240,12092,4000,3 
